,cuisine,count,percentage
74,Steak,3,0.01948051948051948
81,Tex-Mex,3,0.01948051948051948
47,Italian,3,0.01948051948051948
42,Ice Cream,3,0.01948051948051948
48,Japanese,3,0.01948051948051948
68,Sandwich,3,0.01948051948051948
37,German,3,0.01948051948051948
70,Seafood,3,0.01948051948051948
31,Fast Food,3,0.01948051948051948
62,Pizza,3,0.01948051948051948
