,cuisine,count,percentage
39,Ice Cream,6,0.019169329073482427
67,Steak,6,0.019169329073482427
40,Indian,6,0.019169329073482427
1,American,6,0.019169329073482427
36,Greek,6,0.019169329073482427
50,Mediterranean,6,0.019169329073482427
51,Mexican,6,0.019169329073482427
55,Pizza,6,0.019169329073482427
29,Fast Food,6,0.019169329073482427
61,Sandwich,6,0.019169329073482427
