,cuisine,count,percentage,state_code
39,Ice Cream,4,0.018604651162790697,VA
50,Mexican,4,0.018604651162790697,VA
25,Donuts,4,0.018604651162790697,VA
29,Fast Food,4,0.018604651162790697,VA
40,Indian,4,0.018604651162790697,VA
42,International,4,0.018604651162790697,VA
45,Italian,4,0.018604651162790697,VA
46,Japanese,4,0.018604651162790697,VA
47,Korean,4,0.018604651162790697,VA
48,Latin American,4,0.018604651162790697,VA
