,zcity_id,city_query,state_code
648,1294,Casper WY,WY
722,3750,Hoboken NJ,NJ
390,3765,Clifton NJ,NJ
751,3768,Plainfield NJ,NJ
735,3800,Perth Amboy NJ,NJ
177,3816,Paterson NJ,NJ
514,3832,Passaic NJ,NJ
573,3895,East Orange NJ,NJ
721,3897,West New York NJ,NJ
564,3908,Bayonne NJ,NJ
529,3947,Union City NJ,NJ
404,3948,Trenton NJ,NJ
77,3959,Jersey City NJ,NJ
70,3976,Newark NJ,NJ
211,3990,Elizabeth NJ,NJ
670,3992,New Brunswick NJ,NJ
550,4120,Auburn AL,AL
440,4293,Jonesboro AR,AR
636,4363,Casa Grande AZ,AZ
665,4399,Lake Havasu City AZ,AZ
109,4567,Port St Lucie FL,FL
502,4606,North Port FL,FL
646,5453,Kokomo IN,IN
459,5546,Hammond IN,IN
468,5554,Gary IN,IN
317,5649,Lawrence KS,KS
690,5672,Manhattan KS,KS
609,5804,Owensboro KY,KY
749,5963,Methuen Town MA,MA
426,5965,Lawrence MA,MA
577,5966,Haverhill MA,MA
133,5974,Worcester MA,MA
263,6007,Lowell MA,MA
680,6027,Chicopee MA,MA
164,6036,Springfield MA,MA
491,6086,Frederick MD,MD
204,6294,Sterling Heights MI,MI
525,6550,St Cloud MN,MN
698,7164,Rocky Mount NC,NC
737,7412,Grand Island NE,NE
403,7905,Merced CA,CA
476,7955,Turlock CA,CA
758,8181,Enid OK,OK
753,8279,Stillwater OK,OK
677,8340,Albany OR,OR
633,8348,Corvallis OR,OR
457,8445,Bethlehem PA,PA
620,8885,Vineland NJ,NJ
449,9165,Bay TX,TX
184,9244,Denton TX,TX
429,9334,George TX,TX
750,9440,Galveston TX,TX
363,9655,St George UT,UT
733,9661,Logan UT,UT
715,9762,Harrisonburg VA,VA
641,9983,Richland WA,WA
462,9985,Pasco WA,WA
397,9986,Kennewick WA,WA
570,10331,Janesville WI,WI
539,10506,Lakeville MN,MN
315,10614,Beaverton OR,OR
273,10629,Gresham OR,OR
275,10631,Hillsboro OR,OR
673,10647,Tigard OR,OR
135,10650,Vancouver WA,WA
172,10659,Bellevue WA,WA
348,10663,Kirkland WA,WA
494,10666,Redmond WA,WA
553,10667,Sammamish WA,WA
660,10674,Shoreline WA,WA
261,10675,Everett WA,WA
508,10677,Marysville WA,WA
598,10692,Lakewood WA,WA
98,10699,Tacoma WA,WA
416,10700,Auburn WA,WA
734,10702,Burien WA,WA
324,10706,Federal Way WA,WA
205,10707,Kent WA,WA
298,10710,Renton WA,WA
477,10716,Camden NJ,NJ
360,10764,New Braunfels TX,TX
43,10773,Oakland CA,CA
444,10778,Alameda CA,CA
260,10781,Antioch CA,CA
227,10784,Berkeley CA,CA
572,10785,Brentwood CA,CA
210,10788,Concord CA,CA
567,10791,Dublin CA,CA
237,10795,Fairfield CA,CA
90,10796,Fremont CA,CA
157,10797,Hayward CA,CA
361,10800,Livermore CA,CA
486,10804,Pittsburg CA,CA
413,10806,Pleasanton CA,CA
266,10807,Richmond CA,CA
299,10808,Vista CA,CA
369,10811,San Leandro CA,CA
456,10812,San Ramon CA,CA
474,10814,Union City CA,CA
225,10815,Vallejo CA,CA
509,10816,Walnut Creek CA,CA
626,10818,Cupertino CA,CA
399,10820,Milpitas CA,CA
207,10821,Santa Clara CA,CA
166,10823,Sunnyvale CA,CA
554,10824,Madera CA,CA
672,10828,Novato CA,CA
638,10831,San Rafael CA,CA
441,10835,Napa CA,CA
284,10841,Daly City CA,CA
409,10847,Mountain View CA,CA
562,10849,Palo Alto CA,CA
383,10850,Redwood City CA,CA
290,10853,San Mateo CA,CA
531,10854,South San Francisco CA,CA
605,10874,Petaluma CA,CA
143,10877,Santa Rosa CA,CA
9,10883,San Jose CA,CA
430,10897,Cedar Park TX,TX
586,10900,Leander TX,TX
561,10902,Pflugerville TX,TX
203,10903,Round Rock TX,TX
568,10911,San Marcos TX,TX
356,10916,Carson CA,CA
623,10918,Gardena CA,CA
382,10920,Hawthorne CA,CA
41,10924,Long Beach CA,CA
546,10930,Redondo Beach CA,CA
180,10932,Torrance CA,CA
402,10934,Alhambra CA,CA
647,10936,Arcadia CA,CA
463,10938,Baldwin Park CA,CA
669,10941,Diamond Bar CA,CA
245,10942,El Monte CA,CA
732,10943,Glendora CA,CA
614,10948,Monterey Park CA,CA
188,10949,Pasadena CA,CA
167,10950,Pomona CA,CA
696,10951,Rosemead CA,CA
287,10956,West Covina CA,CA
389,10957,Whittier CA,CA
296,10958,Burbank CA,CA
116,10959,Glendale CA,CA
104,10963,Santa Clarita CA,CA
454,10964,Bellflower CA,CA
756,10965,Cerritos CA,CA
327,10966,Compton CA,CA
655,10967,Huntington Park CA,CA
278,10968,Inglewood CA,CA
432,10969,Lakewood CA,CA
512,10970,Lynwood CA,CA
291,10971,Norwalk CA,CA
697,10972,Paramount CA,CA
359,10977,Santa Monica CA,CA
12,10978,Fort Worth TX,TX
286,10980,Allen TX,TX
47,10981,Arlington TX,TX
191,10983,Carrollton TX,TX
716,10988,DeSoto TX,TX
659,10989,Euless TX,TX
113,10991,Frisco TX,TX
91,10992,Garland TX,TX
127,10993,Grand Prairie TX,TX
678,10994,Grapevine TX,TX
92,10995,Irving TX,TX
274,11000,Lewisville TX,TX
118,11001,McKinney TX,TX
189,11002,Mesquite TX,TX
67,11003,Plano TX,TX
228,11005,Richardson TX,TX
537,11007,Rowlett TX,TX
714,11011,Wylie TX,TX
503,11017,North Richland Hills TX,TX
489,11036,Mansfield TX,TX
165,11171,Kansas City KS,KS
156,11174,Alexandria VA,VA
285,11184,Boulder CO,CO
33,11187,Mesa AZ,AZ
78,11188,Chandler AZ,AZ
85,11189,Glendale AZ,AZ
81,11190,Scottsdale AZ,AZ
124,11191,Tempe AZ,AZ
144,11192,Peoria AZ,AZ
84,11193,Gilbert AZ,AZ
728,11194,Maricopa AZ,AZ
183,11196,Surprise AZ,AZ
591,11218,Pico Rivera CA,CA
345,11222,South Gate CA,CA
262,11233,Downey CA,CA
162,11265,Palmdale CA,CA
592,11268,Montebello CA,CA
