,state_code,country,population,top,counts,cuisine_names
104,GA,Vietnam,37689,top5,95.0,Vietnam
105,GA,China,33508,top6,994.0,China
106,GA,Guatemala,33173,top7,1325.0,Guatemala
107,GA,El Salvador,27032,top8,3.0,El Salvador
108,GA,Nigeria,23422,top9,62.0,Nigeria
109,GA,Colombia,21723,top10,10.0,Colombia
110,IA,Mexico,42190,top1,356.0,"Mexico, Taco, Tex-Mex"
111,IA,China,10019,top2,219.0,China
112,IA,India,9913,top3,25.0,India
113,IA,Vietnam,7217,top4,29.0,Vietnam
114,IA,Bosnia and Herzegovina,6001,top5,5.0,Bosnia and Herzegovina
115,IA,Korea,5602,top6,7.0,Korea
116,IA,Guatemala,5015,top7,360.0,Guatemala
117,IA,Burma,4843,top8,0.0,Burma
118,IA,Philippines,4399,top9,1.0,Philippines
119,IA,El Salvador,3569,top10,1.0,El Salvador
120,ID,Mexico,52011,top1,309.0,"Mexico, Taco, Tex-Mex"
121,ID,Canada,5266,top2,0.0,Canada
122,ID,China,3485,top3,148.0,China
123,ID,Philippines,2963,top4,1.0,Philippines
124,ID,Germany,2760,top5,4.0,Germany
125,ID,India,1956,top6,15.0,India
126,ID,Peru,1516,top7,1.0,Peru
127,ID,Ukraine,1467,top8,0.0,Ukraine
128,ID,Vietnam,1432,top9,22.0,Vietnam
129,ID,England,1219,top10,3.0,England
130,IL,Mexico,652286,top1,2181.0,"Mexico, Taco, Tex-Mex"
131,IL,India,160356,top2,235.0,India
132,IL,Poland,129891,top3,62.0,Poland
133,IL,Philippines,88951,top4,33.0,Philippines
134,IL,China,76387,top5,1231.0,China
135,IL,Korea,40673,top6,140.0,Korea
136,IL,Pakistan,28722,top7,68.0,Pakistan
137,IL,Guatemala,26126,top8,2336.0,Guatemala
138,IL,Ukraine,25438,top9,3.0,Ukraine
139,IL,Germany,21602,top10,39.0,Germany
140,IN,Mexico,105727,top1,4675.0,"Mexico, Taco, Tex-Mex"
141,IN,India,28740,top2,492.0,India
142,IN,China,24106,top3,2552.0,China
143,IN,Burma,12308,top4,0.0,Burma
144,IN,Philippines,10643,top5,68.0,Philippines
145,IN,El Salvador,8005,top6,12.0,El Salvador
146,IN,Korea,7502,top7,290.0,Korea
147,IN,Germany,7454,top8,78.0,Germany
148,IN,Canada,6987,top9,0.0,Canada
