,zcity_id,city_query
184,9244,Denton TX
429,9334,George TX
750,9440,Galveston TX
363,9655,St George UT
733,9661,Logan UT
715,9762,Harrisonburg VA
641,9983,Richland WA
462,9985,Pasco WA
397,9986,Kennewick WA
570,10331,Janesville WI
539,10506,Lakeville MN
315,10614,Beaverton OR
273,10629,Gresham OR
275,10631,Hillsboro OR
673,10647,Tigard OR
135,10650,Vancouver WA
172,10659,Bellevue WA
348,10663,Kirkland WA
494,10666,Redmond WA
553,10667,Sammamish WA
660,10674,Shoreline WA
261,10675,Everett WA
508,10677,Marysville WA
598,10692,Lakewood WA
98,10699,Tacoma WA
416,10700,Auburn WA
734,10702,Burien WA
324,10706,Federal Way WA
205,10707,Kent WA
298,10710,Renton WA
477,10716,Camden NJ
360,10764,New Braunfels TX
43,10773,Oakland CA
444,10778,Alameda CA
260,10781,Antioch CA
227,10784,Berkeley CA
572,10785,Brentwood CA
210,10788,Concord CA
567,10791,Dublin CA
237,10795,Fairfield CA
90,10796,Fremont CA
157,10797,Hayward CA
361,10800,Livermore CA
486,10804,Pittsburg CA
413,10806,Pleasanton CA
266,10807,Richmond CA
299,10808,Vista CA
369,10811,San Leandro CA
456,10812,San Ramon CA
474,10814,Union City CA
225,10815,Vallejo CA
509,10816,Walnut Creek CA
626,10818,Cupertino CA
399,10820,Milpitas CA
207,10821,Santa Clara CA
166,10823,Sunnyvale CA
554,10824,Madera CA
672,10828,Novato CA
638,10831,San Rafael CA
441,10835,Napa CA
284,10841,Daly City CA
409,10847,Mountain View CA
562,10849,Palo Alto CA
383,10850,Redwood City CA
290,10853,San Mateo CA
531,10854,South San Francisco CA
605,10874,Petaluma CA
143,10877,Santa Rosa CA
9,10883,San Jose CA
430,10897,Cedar Park TX
586,10900,Leander TX
561,10902,Pflugerville TX
203,10903,Round Rock TX
568,10911,San Marcos TX
356,10916,Carson CA
623,10918,Gardena CA
382,10920,Hawthorne CA
41,10924,Long Beach CA
546,10930,Redondo Beach CA
180,10932,Torrance CA
402,10934,Alhambra CA
647,10936,Arcadia CA
463,10938,Baldwin Park CA
669,10941,Diamond Bar CA
245,10942,El Monte CA
732,10943,Glendora CA
614,10948,Monterey Park CA
188,10949,Pasadena CA
167,10950,Pomona CA
696,10951,Rosemead CA
287,10956,West Covina CA
389,10957,Whittier CA
296,10958,Burbank CA
116,10959,Glendale CA
104,10963,Santa Clarita CA
454,10964,Bellflower CA
756,10965,Cerritos CA
327,10966,Compton CA
655,10967,Huntington Park CA
278,10968,Inglewood CA
432,10969,Lakewood CA
512,10970,Lynwood CA
291,10971,Norwalk CA
697,10972,Paramount CA
359,10977,Santa Monica CA
12,10978,Fort Worth TX
286,10980,Allen TX
47,10981,Arlington TX
191,10983,Carrollton TX
716,10988,DeSoto TX
659,10989,Euless TX
113,10991,Frisco TX
91,10992,Garland TX
127,10993,Grand Prairie TX
678,10994,Grapevine TX
92,10995,Irving TX
274,11000,Lewisville TX
118,11001,McKinney TX
189,11002,Mesquite TX
67,11003,Plano TX
228,11005,Richardson TX
537,11007,Rowlett TX
714,11011,Wylie TX
503,11017,North Richland Hills TX
489,11036,Mansfield TX
165,11171,Kansas City KS
156,11174,Alexandria VA
285,11184,Boulder CO
33,11187,Mesa AZ
78,11188,Chandler AZ
85,11189,Glendale AZ
81,11190,Scottsdale AZ
124,11191,Tempe AZ
144,11192,Peoria AZ
84,11193,Gilbert AZ
728,11194,Maricopa AZ
183,11196,Surprise AZ
591,11218,Pico Rivera CA
345,11222,South Gate CA
262,11233,Downey CA
162,11265,Palmdale CA
592,11268,Montebello CA
