"Label","Minnesota!!Estimate","Mississippi!!Estimate","Missouri!!Estimate","Montana!!Estimate","Nebraska!!Estimate","Nevada!!Estimate","New Hampshire!!Estimate","New Jersey!!Estimate","New Mexico!!Estimate","New York!!Estimate","North Carolina!!Estimate","North Dakota!!Estimate","Ohio!!Estimate","Oklahoma!!Estimate","Oregon!!Estimate","Pennsylvania!!Estimate","Rhode Island!!Estimate","South Carolina!!Estimate","South Dakota!!Estimate","Tennessee!!Estimate","Texas!!Estimate","Utah!!Estimate","Vermont!!Estimate","Virginia!!Estimate","West Virginia!!Estimate","Washington!!Estimate","Wisconsin!!Estimate","Wyoming!!Estimate","Puerto Rico!!Estimate","Alabama!!Estimate","Alaska!!Estimate","Arizona!!Estimate","Arkansas!!Estimate","California!!Estimate","Colorado!!Estimate","Connecticut!!Estimate","Delaware!!Estimate","District of Columbia!!Estimate","Florida!!Estimate","Georgia!!Estimate","Idaho!!Estimate","Hawaii!!Estimate","Illinois!!Estimate","Indiana!!Estimate","Iowa!!Estimate","Kansas!!Estimate","Kentucky!!Estimate","Louisiana!!Estimate","Maine!!Estimate","Maryland!!Estimate","Massachusetts!!Estimate","Michigan!!Estimate"
"        Western Africa:","26,252","962","5,857","255","2,504","1,856","969","46,311","1,283","106,420","18,995","2,721","25,481","4,036","2,143","33,129","14,484","2,907","1,080","8,797","97,759","1,600","191","32,949","989","7,798","4,763","353","","2,835","875","6,300","1,176","41,384","8,065","10,934","4,184","3,983","16,337","47,120","560","377","28,156","10,345","4,094","2,216","4,205","2,511","505","81,153","51,272","10,554"
"            Cabo Verde","33","0","0","0","0","0","31","400","0","260","138","0","75","5","0","52","8,235","0","0","0","32","24","17","76","0","19","0","0","","15","0","142","0","475","0","869","0","61","1,150","229","0","15","28","0","0","0","0","0","0","37","28,924","9"
"            Ghana","2,575","83","1,099","107","279","338","108","14,628","88","31,385","3,664","393","9,514","997","426","5,098","409","287","65","1,007","10,631","427","53","15,237","203","1,127","750","98","","316","99","1,182","268","7,129","3,057","4,652","1,525","585","2,818","10,349","47","117","7,039","1,357","382","601","724","381","108","13,775","8,035","1,345"
"            Liberia","12,227","169","1,205","54","114","372","199","6,020","0","4,553","3,337","1,366","1,578","229","143","11,702","2,592","507","684","1,262","4,929","66","11","2,053","116","717","903","0","","263","42","1,291","70","2,355","777","642","915","172","1,334","3,641","100","48","1,184","511","1,911","28","774","37","85","7,383","2,730","1,370"
"            Nigeria","6,436","482","2,537","46","730","890","364","18,343","1,042","33,824","6,464","707","5,448","2,420","1,321","7,146","2,201","1,574","66","4,000","73,135","399","27","5,753","458","2,193","1,584","165","","1,562","461","2,542","470","25,554","2,232","2,872","1,418","1,808","8,089","23,422","318","122","16,131","6,362","487","1,090","1,046","1,606","202","35,590","8,106","4,570"
"            Sierra Leone","1,285","75","244","0","0","16","18","2,439","22","2,789","1,420","77","1,656","0","33","2,756","176","156","10","284","2,706","183","21","5,939","19","146","108","0","","47","60","276","61","2,254","116","181","156","260","324","1,327","0","4","116","78","252","27","30","42","4","10,046","987","1,026"
"            Other Western Africa","3,696","153","772","48","1,381","240","249","4,481","131","33,609","3,972","178","7,210","385","220","6,375","871","383","255","2,244","6,326","501","62","3,891","193","3,596","1,418","90","","632","213","867","307","3,617","1,883","1,718","170","1,097","2,622","8,152","95","71","3,658","2,037","1,062","470","1,631","445","106","14,322","2,490","2,234"
"        Africa, n.e.c.","2,359","199","1,844","121","1,047","776","429","6,215","651","14,338","3,705","588","4,557","497","249","5,351","1,320","693","234","1,565","13,613","552","6","3,032","116","1,616","768","0","","710","287","2,403","449","7,728","1,859","1,710","671","784","2,543","7,077","216","0","6,042","1,905","1,755","331","983","725","53","5,206","3,540","1,804"
"    Oceania:","2,270","424","2,623","330","425","3,196","541","3,356","494","14,084","3,078","113","2,720","1,768","8,302","3,291","332","1,480","108","1,674","13,678","9,205","373","2,816","394","17,481","1,401","264","","849","1,811","5,306","5,508","82,526","4,729","1,641","121","951","8,444","4,106","941","24,994","3,683","1,460","1,204","1,123","1,152","667","471","2,737","4,160","2,536"
"        Australia and New Zealand Subregion:","1,533","327","994","203","352","1,425","475","2,769","404","12,827","2,297","101","1,905","465","2,466","2,409","205","854","105","1,314","9,165","2,240","363","2,282","361","5,827","833","260","","681","278","2,634","397","29,466","3,711","1,493","87","873","6,537","2,385","481","1,714","3,194","1,105","509","526","493","521","444","2,183","3,664","2,006"
"            Australia","1,210","242","797","110","278","862","300","2,149","198","10,715","1,633","55","1,515","350","1,751","1,787","127","718","76","948","7,403","1,120","313","1,810","222","4,122","603","208","","494","191","1,830","296","21,536","2,349","1,232","42","741","4,792","2,000","337","780","2,440","835","385","382","344","349","353","1,802","2,784","1,510"
"            Other Australian and New Zealand Subregion","323","85","197","93","74","563","175","620","206","2,112","664","46","390","115","715","622","78","136","29","366","1,762","1,120","50","472","139","1,705","230","52","","187","87","804","101","7,930","1,362","261","45","132","1,745","385","144","934","754","270","124","144","149","172","91","381","880","496"
"        Fiji","33","6","46","42","9","477","0","139","32","215","114","0","56","17","1,637","522","98","71","0","7","315","139","0","250","0","4,001","46","0","","56","204","292","13","35,094","74","33","0","20","266","447","47","397","91","45","0","26","0","33","0","97","155","142"
"        Oceania, n.e.c.","704","91","1,583","85","64","1,294","66","448","58","1,042","667","12","759","1,286","4,199","360","29","555","3","353","4,198","6,826","10","284","33","7,653","522","4","","112","1,329","2,380","5,098","17,966","944","115","34","58","1,641","1,274","413","22,883","398","310","695","571","659","113","27","457","341","388"
"    Americas:","125,324","37,369","79,388","8,541","73,128","329,076","24,710","919,067","156,204","2,226,059","437,136","7,544","115,608","140,046","190,472","282,320","67,287","129,257","8,568","160,622","3,275,174","159,248","8,144","384,319","7,601","349,910","118,891","11,757","","86,357","13,002","621,555","90,156","5,485,634","295,921","237,693","38,283","42,244","3,294,523","529,478","64,352","16,803","813,480","154,483","62,494","112,317","67,777","107,991","14,841","364,897","442,038","164,298"
"        Latin America:","113,472","35,707","73,876","4,688","71,636","318,548","16,001","903,388","153,126","2,169,867","418,040","4,908","101,008","136,218","175,851","266,303","64,672","121,363","7,476","151,903","3,226,116","151,093","3,117","370,821","6,429","304,480","111,993","10,735","","82,919","10,147","578,572","87,852","5,352,176","281,793","223,734","36,967","40,072","3,181,595","510,630","59,054","12,510","795,215","147,335","59,984","109,083","64,228","105,400","5,161","356,211","411,277","128,243"
"            Caribbean:","6,866","3,183","6,785","414","4,482","24,047","5,986","328,695","3,089","1,088,499","39,269","970","16,618","3,545","4,436","118,376","31,938","11,134","900","11,160","100,739","3,144","649","36,326","1,447","8,224","5,181","225","","6,762","2,356","14,130","1,755","71,257","7,745","84,024","9,592","7,364","1,741,484","96,167","464","1,656","27,103","8,123","2,405","3,102","13,039","13,610","1,668","72,640","182,495","15,769"
"                Bahamas","193","133","95","0","11","214","56","410","27","1,521","871","9","399","342","6","571","22","271","26","673","1,036","25","11","515","47","144","79","2","","298","0","185","158","568","206","165","130","118","18,886","1,877","0","60","492","94","35","30","65","208","3","518","433","605"
"                Barbados","83","7","31","0","25","91","61","3,167","0","25,556","866","5","267","5","87","2,064","44","383","0","72","1,603","0","5","912","6","150","31","0","","109","13","139","0","1,031","198","962","156","111","6,469","2,362","0","23","513","285","42","28","68","108","48","1,503","3,830","91"
"                Cuba","1,248","816","2,759","112","3,413","18,880","358","44,141","1,835","25,336","7,432","53","2,178","1,191","2,677","6,455","547","2,534","136","4,108","49,407","829","85","7,012","310","2,072","1,333","21","","1,267","232","6,990","601","34,106","2,460","3,213","602","707","970,958","11,590","88","164","8,489","1,872","536","973","9,870","4,641","328","3,504","2,989","4,478"
"                Dominica","99","0","86","0","0","111","49","2,454","0","10,035","153","0","96","64","0","1,137","559","41","5","138","1,669","18","12","395","36","67","21","0","","70","114","67","16","372","43","1,334","187","70","7,978","914","0","0","136","65","0","0","28","469","0","596","2,674","50"
"                Dominican Republic","1,272","864","798","142","268","1,977","3,734","167,377","473","495,797","10,653","334","5,472","425","165","61,516","26,233","1,451","445","1,668","10,305","1,005","63","6,452","197","1,326","1,268","0","","301","1,433","1,696","273","6,180","1,021","21,821","1,996","1,901","125,356","11,855","37","311","3,513","2,038","167","691","617","3,868","312","12,876","86,889","3,209"
"                Grenada","117","38","16","0","9","11","0","1,161","0","22,887","369","0","69","112","0","581","0","107","0","92","1,337","26","2","364","34","15","39","0","","135","0","85","0","442","25","113","51","149","2,989","878","0","195","77","183","90","46","80","119","11","1,458","541","170"
"                Haiti","1,121","116","998","40","240","480","659","45,794","180","128,209","5,230","155","1,334","459","686","15,798","2,848","796","92","1,609","4,435","374","152","3,761","128","1,462","478","86","","1,409","203","1,120","105","4,880","1,051","14,317","3,048","448","325,644","12,390","191","159","4,586","1,302","786","460","940","1,424","227","8,886","55,871","1,381"
