"Label","Minnesota!!Estimate","Mississippi!!Estimate","Missouri!!Estimate","Montana!!Estimate","Nebraska!!Estimate","Nevada!!Estimate","New Hampshire!!Estimate","New Jersey!!Estimate","New Mexico!!Estimate","New York!!Estimate","North Carolina!!Estimate","North Dakota!!Estimate","Ohio!!Estimate","Oklahoma!!Estimate","Oregon!!Estimate","Pennsylvania!!Estimate","Rhode Island!!Estimate","South Carolina!!Estimate","South Dakota!!Estimate","Tennessee!!Estimate","Texas!!Estimate","Utah!!Estimate","Vermont!!Estimate","Virginia!!Estimate","West Virginia!!Estimate","Washington!!Estimate","Wisconsin!!Estimate","Wyoming!!Estimate","Puerto Rico!!Estimate","Alabama!!Estimate","Alaska!!Estimate","Arizona!!Estimate","Arkansas!!Estimate","California!!Estimate","Colorado!!Estimate","Connecticut!!Estimate","Delaware!!Estimate","District of Columbia!!Estimate","Florida!!Estimate","Georgia!!Estimate","Idaho!!Estimate","Hawaii!!Estimate","Illinois!!Estimate","Indiana!!Estimate","Iowa!!Estimate","Kansas!!Estimate","Kentucky!!Estimate","Louisiana!!Estimate","Maine!!Estimate","Maryland!!Estimate","Massachusetts!!Estimate","Michigan!!Estimate"
"                Colombia","3,721","776","1,939","293","767","4,050","1,347","81,211","1,196","102,754","14,738","602","3,783","1,479","1,507","12,238","5,736","9,054","115","3,107","46,451","3,106","279","12,776","200","3,940","2,264","48","","1,475","673","4,882","947","44,344","4,310","15,177","1,213","2,089","262,304","21,723","660","618","14,154","1,638","772","1,509","1,669","2,104","315","12,011","24,016","2,566"
"                Ecuador","5,919","217","566","39","145","1,156","500","77,710","452","176,275","5,812","52","1,308","289","694","8,463","617","1,248","81","683","8,508","2,241","48","4,583","72","1,763","859","32","","494","126","1,644","426","21,751","1,020","19,692","424","354","52,003","3,265","331","198","17,357","737","622","829","285","1,044","113","4,580","8,317","553"
"                Guyana","3,711","152","221","24","21","265","143","23,130","74","163,223","2,685","13","1,295","80","59","4,669","192","503","5","515","4,102","67","271","2,658","70","459","114","3","","335","45","835","89","4,577","332","4,435","1,100","807","34,532","7,881","11","205","821","201","153","106","259","416","34","8,274","2,406","516"
"                Peru","1,531","354","1,076","251","693","4,535","399","60,409","463","54,351","5,960","22","4,161","1,590","2,159","7,760","778","1,966","157","2,081","20,396","6,088","231","26,014","454","4,130","1,305","243","","1,029","554","3,723","619","74,440","5,884","13,575","422","1,728","91,623","7,746","1,516","527","7,908","2,157","443","709","932","1,076","234","16,961","7,313","1,676"
"                Uruguay","144","1","246","0","29","171","326","8,762","29","5,651","1,089","12","167","70","140","748","34","361","0","114","1,825","718","24","1,412","11","695","399","0","","124","44","367","11","3,251","93","1,171","48","212","12,349","2,170","0","20","637","125","9","25","14","135","10","1,031","2,336","211"
"                Venezuela","1,344","238","1,125","103","629","1,332","143","8,482","246","13,144","5,506","66","1,990","1,822","969","3,414","438","1,419","10","2,342","36,831","3,703","92","6,346","111","1,832","800","103","","1,182","127","1,894","314","10,327","2,416","2,760","328","752","160,217","8,077","317","371","3,258","1,750","334","617","958","1,493","103","2,788","5,469","1,524"
"                Other South America","671","12","278","60","28","252","7","2,727","116","9,337","695","4","403","67","62","789","75","201","2","119","1,814","159","71","1,033","50","408","288","0","","234","228","242","121","3,659","422","621","114","305","5,814","912","131","43","1,178","111","72","408","72","469","27","1,706","575","364"
"        Northern America:","11,852","1,662","5,512","3,853","1,492","10,528","8,709","15,679","3,078","56,192","19,096","2,636","14,600","3,828","14,621","16,017","2,615","7,894","1,092","8,719","49,058","8,155","5,027","13,498","1,172","45,430","6,898","1,022","","3,438","2,855","42,983","2,304","133,458","14,128","13,959","1,316","2,172","112,928","18,848","5,298","4,293","18,265","7,148","2,510","3,234","3,549","2,591","9,680","8,686","30,761","36,055"
"            Canada","11,816","1,656","5,381","3,853","1,477","10,472","8,637","15,336","3,059","55,631","18,952","2,629","14,413","3,763","14,621","15,692","2,525","7,745","1,092","8,598","48,739","8,148","5,024","13,131","1,162","45,302","6,873","1,022","","3,229","2,843","42,798","2,258","132,843","14,105","13,742","1,146","2,172","111,793","18,187","5,266","4,275","18,201","6,987","2,481","3,223","3,472","2,581","9,622","8,412","30,222","35,976"
"            Other Northern America","36","6","131","0","15","56","72","343","19","561","144","7","187","65","0","325","90","149","0","121","319","7","3","367","10","128","25","0","","209","12","185","46","615","23","217","170","0","1,135","661","32","18","64","161","29","11","77","10","58","274","539","79"
